procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 557232  21840 178628    0    0     0     0 1044 5921  9  8 83  0  0
 1  0      0 557108  21840 178632    0    0     0     0 1110 5986  9  8 83  0  0
 1  0      0 556468  21840 178636    0    0     0     0 1166 6045  9  9 82  0  0
 1  0      0 556736  21840 178640    0    0     0     8 1065 5930  9  8 83  0  0
 1  0      0 556928  21840 178644    0    0     0    28 1128 5970 10  8 81  0  0
 1  0      0 556876  21840 178644    0    0     0     0 1162 5941 12  8 79  0  0
 1  0      0 556876  21840 178648    0    0     0     0 1161 5999 12  9 79  0  0
 1  0      0 556932  21840 178652    0    0     0     0 1213 6075 13  7 80  0  0
 1  0      0 556752  21840 178656    0    0     0     0 1198 5947  9 11 80  0  0
 1  0      0 556720  21840 178660    0    0     0    16 1133 5864 10 11 79  0  0
 1  0      0 556828  21840 178664    0    0     0     0 1151 6042 13  8 80  0  0
 1  0      0 557400  21840 178668    0    0     0     0 1077 5925 11  9 79  0  0
