dem_req_rate	req_rate_192.168.33.101	con_rate_192.168.33.101	min_rep_rate_192.168.33.101	avg_rep_rate_192.168.33.101	max_rep_rate_192.168.33.101	stddev_rep_rate_192.168.33.101	resp_time_192.168.33.101	net_io_192.168.33.101	errors_192.168.33.101
188	153.7	153.7	0.0	0.0	0.0	0.0	69.8	1198.3	0
190	146.3	146.3	0.0	0.0	0.0	0.0	85.2	1140.4	0
192	150.7	150.7	0.0	0.0	0.0	0.0	72.6	1174.4	0
194	150.4	150.4	0.0	0.0	0.0	0.0	77.3	1172.3	0
196	158.7	158.7	0.0	0.0	0.0	0.0	72.7	1236.6	0
198	146.5	146.5	0.0	0.0	0.0	0.0	91.3	1141.5	0
200	143.5	143.5	0.0	0.0	0.0	0.0	93.1	1118.6	0
202	147.7	147.7	0.0	0.0	0.0	0.0	94.1	1151.1	0
204	143.1	143.1	0.0	0.0	0.0	0.0	92.1	1115.4	0
206	153.0	153.0	0.0	0.0	0.0	0.0	93.4	1192.5	0
208	148.5	148.5	0.0	0.0	0.0	0.0	104.5	1157.6	0
210	147.3	147.3	0.0	0.0	0.0	0.0	109.9	1147.9	0
212	149.6	149.6	0.0	0.0	0.0	0.0	104.1	1166.0	0
214	154.5	154.5	0.0	0.0	0.0	0.0	98.3	1204.1	0
216	153.7	153.7	0.0	0.0	0.0	0.0	100.8	1198.2	0
218	151.9	151.9	0.0	0.0	0.0	0.0	105.4	1183.6	0
220	157.8	157.8	0.0	0.0	0.0	0.0	99.2	1229.7	0
222	147.5	147.5	0.0	0.0	0.0	0.0	110.3	1149.9	0
224	147.1	147.1	0.0	0.0	0.0	0.0	125.5	1146.2	0
226	156.4	156.4	0.0	0.0	0.0	0.0	106.4	1218.8	0
228	150.8	150.8	0.0	0.0	0.0	0.0	103.9	1175.5	0
230	150.2	150.2	0.0	0.0	0.0	0.0	120.5	1170.5	0
232	156.1	156.1	0.0	0.0	0.0	0.0	115.7	1216.4	0
234	140.9	140.9	0.0	0.0	0.0	0.0	121.5	1098.2	0
236	161.5	161.5	0.0	0.0	0.0	0.0	105.4	1259.0	0
238	150.0	150.0	0.0	0.0	0.0	0.0	131.5	1169.2	0
240	151.7	151.7	0.0	0.0	0.0	0.0	134.3	1182.2	0
