procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 555848  20472 178696    0    0     0    20 1125 5984  7 10 82  0  0
 0  0      0 555720  20472 178700    0    0     0     0 1063 5922  7 11 82  0  0
 0  0      0 555860  20472 178704    0    0     0     0 1088 5966 10  7 83  0  0
 0  0      0 556116  20472 178708    0    0     0     0 1198 6113 11  8 82  0  0
 0  0      0 556044  20480 178704    0    0     0    16 1189 6013 11  8 80  0  0
 0  0      0 555672  20480 178716    0    0     0     0 1155 5996 11  9 79  0  0
 0  0      0 555752  20480 178716    0    0     0     0 1070 5938 12  8 80  0  0
 0  0      0 555600  20480 178720    0    0     0     0 1084 5962  8 10 82  0  0
 2  0      0 555792  20480 178724    0    0     0     0 1137 5933  9 12 80  0  0
 2  0      0 555700  20488 178720    0    0     0    16 1104 5969  9 10 80  0  0
 3  0      0 555632  20488 178732    0    0     0     0 1117 5940  9 12 79  0  0
 1  0      0 555528  20488 178736    0    0     0     0 1146 5992  8 10 82  0  0
