starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 07 08:07:46 2018	1523088466	0	14	14	14
Sat Apr 07 08:07:44 2018	1523088464	0	14	14	14
Sat Apr 07 08:07:39 2018	1523088459	0	14	14	14
Sat Apr 07 08:07:41 2018	1523088461	0	14	14	14
Sat Apr 07 08:07:40 2018	1523088460	0	14	14	14
Sat Apr 07 08:07:32 2018	1523088452	1	14	14	14
Sat Apr 07 08:07:37 2018	1523088457	0	14	14	14
Sat Apr 07 08:07:43 2018	1523088463	0	14	14	14
Sat Apr 07 08:07:38 2018	1523088458	0	14	14	14
Sat Apr 07 08:07:44 2018	1523088464	0	14	14	13
Sat Apr 07 08:07:40 2018	1523088460	0	14	14	13
Sat Apr 07 08:07:37 2018	1523088457	0	14	14	14
Sat Apr 07 08:07:44 2018	1523088464	0	14	14	13
Sat Apr 07 08:07:34 2018	1523088454	0	14	14	14
Sat Apr 07 08:07:39 2018	1523088459	0	14	14	14
